channel,symbol,date,side
prices,BP,2026-05-01,canonical
prices,BP,2026-05-02,canonical
prices,BP,2026-05-03,canonical
prices,BP,2026-05-04,canonical
prices,BP,2026-05-05,canonical
prices,BP,2026-05-06,canonical
prices,BP,2026-05-07,canonical
prices,BP,2026-05-08,canonical
prices,BP,2026-05-09,canonical
prices,BP,2026-05-10,canonical
prices,BP,2026-05-11,canonical
prices,BP,2026-05-12,canonical
prices,BP,2026-05-13,canonical
prices,BP,2026-05-14,canonical
prices,BTC,2026-04-30,canonical
prices,BTC,2026-05-01,canonical
prices,BTC,2026-05-02,canonical
prices,BTC,2026-05-03,canonical
prices,BTC,2026-05-04,canonical
prices,BTC,2026-05-05,canonical
prices,BTC,2026-05-06,canonical
prices,BTC,2026-05-07,canonical
prices,BTC,2026-05-08,canonical
prices,BTC,2026-05-09,canonical
prices,BTC,2026-05-10,canonical
prices,BTC,2026-05-11,canonical
prices,BTC,2026-05-12,canonical
prices,BTC,2026-05-13,canonical
prices,BTC,2026-05-14,canonical
prices,CHIP,2026-04-30,canonical
prices,CHIP,2026-05-01,canonical
prices,CHIP,2026-05-02,canonical
prices,CHIP,2026-05-03,canonical
prices,CHIP,2026-05-04,canonical
prices,CHIP,2026-05-05,canonical
prices,CHIP,2026-05-06,canonical
prices,CHIP,2026-05-07,canonical
prices,CHIP,2026-05-08,canonical
prices,CHIP,2026-05-09,canonical
prices,CHIP,2026-05-10,canonical
prices,CHIP,2026-05-11,canonical
prices,CHIP,2026-05-12,canonical
prices,CHIP,2026-05-13,canonical
prices,CHIP,2026-05-14,canonical
prices,CL,2026-04-30,canonical
prices,CL,2026-05-01,canonical
prices,CL,2026-05-02,canonical
prices,CL,2026-05-03,canonical
prices,CL,2026-05-04,canonical
prices,CL,2026-05-05,canonical
prices,CL,2026-05-06,canonical
prices,CL,2026-05-07,canonical
prices,CL,2026-05-08,canonical
prices,CL,2026-05-09,canonical
prices,CL,2026-05-10,canonical
prices,CL,2026-05-11,canonical
prices,CL,2026-05-12,canonical
prices,CL,2026-05-13,canonical
prices,CL,2026-05-14,canonical
prices,COPPER,2026-04-30,canonical
prices,COPPER,2026-05-01,canonical
prices,COPPER,2026-05-02,canonical
prices,COPPER,2026-05-03,canonical
prices,COPPER,2026-05-04,canonical
prices,COPPER,2026-05-05,canonical
prices,COPPER,2026-05-06,canonical
prices,COPPER,2026-05-07,canonical
prices,COPPER,2026-05-08,canonical
prices,COPPER,2026-05-09,canonical
prices,COPPER,2026-05-10,canonical
prices,COPPER,2026-05-11,canonical
prices,COPPER,2026-05-12,canonical
prices,COPPER,2026-05-13,canonical
prices,COPPER,2026-05-14,canonical
prices,CRCL,2026-04-30,canonical
prices,CRCL,2026-05-01,canonical
prices,CRCL,2026-05-02,canonical
prices,CRCL,2026-05-03,canonical
prices,CRCL,2026-05-04,canonical
prices,CRCL,2026-05-05,canonical
