symbol,horizon,signal_kind,percentile_cutoff,n_total_windows,n_extreme_windows,extreme_frequency,mean_signed_return_extreme,median_signed_return_extreme,p25_signed_return_extreme,p75_signed_return_extreme,frac_positive_signed_return_extreme,gross_extreme_bps,cost_round_trip_bps,headroom_extreme_bps,per_day_expected_gross_bps
AAVE,50,flow,0.99,4955,59,0.0119072,1.10767,-2.53598,-15.6512,12.9278,0.457627,1.10767,10,-8.89233,-0.105882
AAVE,100,flow,0.99,4909,59,0.0120187,1.00274,-2.46685,-21.2657,23.6547,0.474576,1.00274,10,-8.99726,-0.108136
AAVE,500,flow,0.99,4581,53,0.0115695,-8.47106,-3.99714,-44.9247,51.1423,0.45283,8.47106,10,-1.52894,-0.0176892
ASTER,10,flow,0.99,4997,88,0.0176106,-0.604405,1.2425,-5.91121,7.84147,0.590909,0.604405,10,-9.3956,-0.165462
ASTER,50,flow,0.99,4969,87,0.0175086,-2.5319,-1.07396,-17.7727,15.5366,0.45977,2.5319,10,-7.4681,-0.130756
ASTER,100,flow,0.99,4936,87,0.0176256,-5.75032,-3.8654,-26.8114,18.0657,0.390805,5.75032,10,-4.24968,-0.0749032
ASTER,500,flow,0.99,4608,77,0.0167101,-13.2344,0.433085,-47.5481,49.2906,0.506494,13.2344,10,3.23441,0.0540472
AVAX,10,flow,0.99,4537,57,0.0125634,-1.08837,-1.10994,-5.31096,5.55648,0.368421,1.08837,10,-8.91163,-0.11196
AVAX,50,flow,0.99,4505,55,0.0122087,-2.3316,-3.30779,-14.6091,6.67317,0.436364,2.3316,10,-7.6684,-0.0936208
AVAX,100,flow,0.99,4473,54,0.0120724,-2.13738,-6.25282,-22.8791,14.4286,0.351852,2.13738,10,-7.86262,-0.094921
AVAX,500,flow,0.99,4145,46,0.0110977,-8.0007,-13.4221,-56.5595,53.023,0.478261,8.0007,10,-1.9993,-0.0221877
BNB,10,flow,0.99,5695,88,0.0154522,0.369647,0.484219,-3.52719,4.13543,0.556818,0.369647,10,-9.63035,-0.14881
BNB,50,flow,0.99,5668,86,0.0151729,0.245049,-1.91744,-10.9865,12.0864,0.453488,0.245049,10,-9.75495,-0.148011
BNB,100,flow,0.99,5624,85,0.0151138,-0.806533,-1.81179,-16.9482,11.0587,0.470588,0.806533,10,-9.19347,-0.138948
