symbol,size_usd,horizon,n_windows,n_fillable_with_edge,fillable_frac,slip_median_bps,slip_p90_bps,edge_median_bps,edge_p75_bps,edge_p90_bps,headroom_median_bps,headroom_p75_bps,headroom_p90_bps,frac_positive_headroom,headroom_55_median_bps,headroom_55_p75_bps,headroom_55_p90_bps,frac_pos_acc_55,headroom_575_median_bps,headroom_575_p75_bps,headroom_575_p90_bps,frac_pos_acc_575,headroom_60_median_bps,headroom_60_p75_bps,headroom_60_p90_bps,frac_pos_acc_60
BNB,10000,500,5903,5375,0.978824,1.34176,2.32564,35.2597,69.3605,113.849,20.3849,53.8649,98.2035,0.765023,-11.1522,-7.94916,-3.53149,0.0554419,-9.43834,-4.57887,2.02264,0.133395,-7.6634,-1.16837,7.80097,0.220279
BNB,100000,10,5903,1993,0.337964,2.89229,4.4134,4.76109,9.43425,15.9958,-12.9712,-9.00285,-3.55965,0.0607125,-16.5759,-15.8955,-15.3242,0,-16.35,-15.6065,-14.9289,0,-16.121,-15.2886,-14.3496,0.000501756
BNB,100000,50,5903,1990,0.337964,2.89229,4.4134,10.8425,20.9783,34.6285,-7.69848,0.832165,13.1195,0.263317,-16.0544,-15.1119,-14.1207,0,-15.613,-14.4192,-12.8607,0.00100503,-15.1987,-13.5794,-11.4721,0.00552764
BNB,100000,100,5903,1981,0.337964,2.89229,4.4134,15.9518,30.0388,49.5457,-3.61409,8.7541,25.679,0.416961,-15.6923,-14.5657,-12.9956,0.00100959,-15.0806,-13.4376,-10.9323,0.00706714,-14.4323,-12.2565,-8.85184,0.017163
BNB,100000,500,5903,1934,0.337964,2.89229,4.4134,35.2597,69.3605,113.849,13.9208,42.8298,85.5929,0.693899,-14.1546,-11.4702,-7.22998,0.0305067,-12.6906,-8.57692,-2.21111,0.0713547,-11.2236,-5.51904,2.80251,0.137022
BTC,1000,10,16910,16887,0.998995,0.0709597,0.664028,2.42907,5.01508,8.46193,-10.0068,-7.42642,-4.05414,0.0370699,-12.0123,-11.7597,-11.4359,5.92171e-05,-11.9293,-11.5501,-11.0552,5.92171e-05,-11.8361,-11.3357,-10.6591,5.92171e-05
BTC,1000,50,16910,16854,0.998995,0.0709597,0.664028,6.18027,11.9063,20.0072,-6.21776,-0.577324,7.42429,0.233179,-11.6991,-11.1569,-10.4118,0.000118666,-11.4146,-10.6042,-9.46739,0.000652664,-11.1293,-10.0311,-8.50648,0.00249199
BTC,1000,100,16910,16814,0.998995,0.0709597,0.664028,8.87735,17.101,28.1839,-3.55251,4.62275,15.6702,0.370941,-11.4543,-10.669,-9.61602,0.000475794,-11.0367,-9.83463,-8.22359,0.00309266,-10.604,-9.00138,-6.82377,0.00945641
BTC,1000,500,16910,16478,0.998995,0.0709597,0.664028,19.3689,37.5626,63.5863,6.97689,25.0804,50.9868,0.649775,-10.4485,-8.70417,-6.14104,0.014929,-9.4993,-6.85807,-2.99608,0.0526763,-8.53999,-4.99917,0.179831,0.103593
BTC,10000,10,16910,16585,0.981135,0.200156,1.03227,2.42907,5.01508,8.46193,-10.2884,-7.7128,-4.36169,0.0343684,-12.1051,-11.8741,-11.5547,6.02954e-05,-12.0752,-11.7002,-11.2252,6.02954e-05,-12.0166,-11.5062,-10.8673,6.02954e-05
