symbol,horizon,offset_bps,n_windows,fill_rate_bid,fill_rate_ask,fill_rate_either,mean_pnl_bid_filled,median_pnl_bid_filled,q25_pnl_bid_filled,q75_pnl_bid_filled,mean_pnl_ask_filled,median_pnl_ask_filled,q25_pnl_ask_filled,q75_pnl_ask_filled,mean_pnl_either_filled,median_pnl_either_filled,unconditional_maker_pnl_bps,model_accuracy_breakeven
WLFI,100,1,4754,0.756205,0.752629,0.980648,-12.2844,-12.5422,-44.5974,17.9223,-13.3984,-12.3274,-40.3753,18.7838,-12.8401,-12.4487,-12.6868,0.383178
WLFI,100,2,4754,0.756205,0.752629,0.980648,-11.2855,-11.5433,-43.6017,18.9243,-12.3972,-11.3264,-39.3714,19.7817,-11.84,-11.4476,-11.9323,0.373311
WLFI,100,5,4754,0.690787,0.687211,0.963189,-12.3826,-11.4261,-44.2832,18.2213,-13.5903,-11.7165,-40.352,19.1447,-12.9849,-11.5505,-11.9466,0.384481
WLFI,500,1,4420,0.890724,0.881222,0.997285,-12.9054,-13.7073,-83.9942,51.2564,-14.6408,-8.07674,-75.6609,56.4498,-13.7685,-12.2594,-15.1985,0.391055
WLFI,500,2,4420,0.890724,0.881222,0.997285,-11.9065,-12.7084,-83.0024,52.2617,-13.6396,-7.07613,-74.6535,57.444,-12.7684,-11.2605,-14.3124,0.382522
WLFI,500,5,4420,0.859729,0.848869,0.996606,-12.7004,-13.1857,-82.4715,49.3133,-14.7948,-9.01582,-74.6036,56.8075,-13.7409,-10.3492,-14.7389,0.390837
XPL,10,1,4685,0.400427,0.391249,0.722305,-15.7788,-14.1761,-30.5364,1.0001,-15.862,-14.759,-30.3449,0.9999,-15.8199,-14.5374,-9.26211,0.405183
XPL,10,2,4685,0.38826,0.378015,0.70032,-15.2884,-13.7756,-30.1785,2.0004,-15.2852,-14.1002,-29.573,1.9996,-15.2868,-13.9109,-8.85697,0.401876
XPL,10,5,4685,0.323372,0.320598,0.607044,-15.693,-14.4373,-30.6025,0.423702,-15.1336,-13.9931,-29.1522,-0.380677,-15.4146,-14.1745,-7.96326,0.402689
XPL,50,1,4646,0.70254,0.683384,0.981705,-17.2046,-17.8266,-47.9088,10.8771,-17.7002,-13.4183,-45.8277,16.4186,-17.449,-15.5502,-15.0915,0.414035
