symbol,horizon,fold,quintile,n_windows,directional_accuracy,binomial_2sigma_lower_bound,mean_signed_return_bps,mean_abs_edge_bps,mean_slip_bps,gross_round_trip_bps,cost_round_trip_bps,headroom_bps,tradeable
BTC,100,2026-03,2,409,0.5183374083129584,0.4689238558866511,-0.8753500398213494,16.531347539130184,0.24808578555467278,0.6062841395768999,8.496171571109345,-7.889887431532445,False
BTC,100,2026-03,3,409,0.48655256723716384,0.4371236361058591,0.7173780027292321,15.814808793259106,0.24770085542921275,-0.42533715580892395,8.495401710858426,-8.92073886666735,False
BTC,100,2026-03,4,409,0.5256723716381418,0.4762907749023065,1.4009584381567441,15.641152226006126,0.25626164121946277,0.8030909455895576,8.512523282438925,-7.709432336849368,False
BTC,100,2026-03,5,409,0.49877750611246946,0.4493308362649535,-0.025775113001491233,16.13185526880259,0.2481303190004848,-0.03944218892127701,8.496260638000969,-8.535702826922245,False
BTC,500,2026-02,1,519,0.49710982658959535,0.45321543178610146,-2.2601091137651266,42.11585072739513,0.32462967084619493,-0.24344422385777753,8.64925934169239,-8.892703565550168,False
BTC,500,2026-02,2,518,0.49034749034749037,0.44641820098647556,0.12333043607416143,40.98324096365964,0.2923665273268915,-0.7911822579857057,8.584733054653784,-9.375915312639489,False
BTC,500,2026-02,3,518,0.47876447876447875,0.4348666461130911,-1.0200449751415173,41.10621996037907,0.2964818445650383,-1.7458240137612744,8.592963689130077,-10.33878770289135,False
BTC,500,2026-02,4,518,0.5019305019305019,0.4579933519110434,2.1879163555617738,36.866492107663994,0.30365427219285496,0.14234166836935877,8.60730854438571,-8.464966876016351,False
BTC,500,2026-02,5,519,0.5086705202312138,0.4647819924857965,-0.3053529012673322,42.2373067117546,0.36424357234331495,0.7324388447125048,8.72848714468663,-7.996048299974126,False
BTC,500,2026-03,1,400,0.5475,0.49772613637660823,-1.3128680917096676,35.989394726988394,0.25204887676591897,3.4189924990638962,8.504097753531838,-5.085105254467941,False
BTC,500,2026-03,2,399,0.47368421052631576,0.4236909799846339,-5.173073646604275,35.16227782262252,0.26663089913248045,-1.8506462011906608,8.533261798264961,-10.383907999455623,False
BTC,500,2026-03,3,399,0.49874686716791977,0.4486844069668418,-0.7068347253959419,34.67067308276908,0.21517757153419476,-0.0868939175006763,8.43035514306839,-8.517249060569066,False
BTC,500,2026-03,4,399,0.5112781954887218,0.46122831537584374,1.5712238680033668,35.04915813703333,0.2440540199428455,0.7905825143691709,8.488108039885692,-7.697525525516521,False
BTC,500,2026-03,5,399,0.46867167919799496,0.41870742768523495,1.4574279722769097,37.206070442674665,0.2620375128061874,-2.331207421220219,8.524075025612374,-10.855282446832593,False
CRV,100,2026-02,1,104,0.4423076923076923,0.3449045653571883,-17.112516081677086,58.33007597315243,28.41431695383563,-6.73039338151759,64.82863390767126,-71.55902728918885,False
CRV,100,2026-02,2,104,0.41346153846153844,0.3168833328705499,-10.202360586285582,57.067101647240094,26.609167388576648,-9.876998362022327,61.218334777153295,-71.09533313917562,False
CRV,100,2026-02,3,104,0.5192307692307693,0.4212452566605639,8.680685237917702,55.71864930481338,26.77500081069543,2.143024973262058,61.55000162139086,-59.406976648128804,False
CRV,100,2026-02,4,104,0.40384615384615385,0.3076183716212878,-3.742795214258414,68.20698823643255,26.303311246245855,-13.11672850700626,60.60662249249171,-73.72335099949797,False
CRV,100,2026-02,5,104,0.5,0.401941932430908,9.969310303858988,59.20953145575293,26.7534910223093,0.0,61.5069820446186,-61.5069820446186,False
CRV,100,2026-03,1,93,0.5376344086021505,0.4342333933850786,-1.909211731731167,50.903856144061336,23.433126832792162,3.8314730431013877,54.866253665584324,-51.034780622482934,False
CRV,100,2026-03,2,92,0.5760869565217391,0.47304395683392225,12.742425375187882,48.97132966700324,23.76332284445225,7.452158862370059,55.5266456889045,-48.07448682653444,False
CRV,100,2026-03,3,93,0.45161290322580644,0.3484044412767862,-9.911685422505933,46.61065112750577,23.19876468060959,-4.510708173629592,54.39752936121918,-58.908237534848766,False
CRV,100,2026-03,4,92,0.5,0.39574279297146264,4.986706205628613,47.12456547839912,22.03630166908615,0.0,52.0726033381723,-52.0726033381723,False
CRV,100,2026-03,5,93,0.46236559139784944,0.35896457618077754,2.7736057264490226,50.216687559050015,24.65511498440437,-3.779750676487638,57.31022996880874,-61.08998064529638,False
CRV,500,2026-02,1,93,0.4731182795698925,0.36957308438706316,-6.183180108779645,146.24969150596576,28.02496542931589,-7.862886640105679,64.04993085863178,-71.91281749873747,False
CRV,500,2026-02,2,93,0.3763440860215054,0.2758701093044495,-40.164873840225496,123.86080335882954,27.139649321427285,-30.632241690893327,62.27929864285457,-92.9115403337479,False
CRV,500,2026-02,3,92,0.5543478260869565,0.4507083351665336,-3.5673558412110857,108.24106018844775,27.35357536965119,11.765332629179108,62.70715073930238,-50.94181811012327,False
CRV,500,2026-02,4,93,0.5161290322580645,0.4124878285287098,1.8205349163032116,114.48713825713284,26.409153676324724,3.6931334921655723,60.81830735264945,-57.125173860483876,False
CRV,500,2026-02,5,93,0.3333333333333333,0.23556858998576446,-28.147349874670404,134.45375971568097,26.510549416245404,-44.817919905226994,61.02109883249081,-105.8390187377178,False
CRV,500,2026-03,1,83,0.4939759036144578,0.38421961054620707,17.249627906560427,98.52164933768795,24.52000542273685,-1.1870078233456418,57.0400108454737,-58.22701866881934,False
CRV,500,2026-03,2,82,0.5121951219512195,0.4017964477367087,5.532317029686119,95.21873160005387,22.225716410744486,2.322408087806194,52.45143282148897,-50.129024733682776,False
CRV,500,2026-03,3,83,0.5180722891566265,0.4083797522907166,17.11336379230491,109.19990820557004,23.741916719366095,3.946984633936267,55.48383343873219,-51.53684880479592,False
CRV,500,2026-03,4,82,0.524390243902439,0.41409018397666986,7.883780390995355,104.84355709461576,23.428603787421828,5.114319858273944,54.857207574843656,-49.74288771656971,False
CRV,500,2026-03,5,83,0.5662650602409639,0.457469033162708,13.991782199086822,98.88934137731634,23.528888841193297,13.105816327114223,55.05777768238659,-41.951961355272374,False
DOGE,100,2026-02,1,113,0.5309734513274337,0.43708203497762943,7.03463466033524,51.118150547145966,2.920319345220223,3.1666110958409055,13.840638690440446,-10.67402759459954,False
DOGE,100,2026-02,2,112,0.5089285714285714,0.4144525199256631,-2.590762544757797,50.99171340012684,2.899597601404824,0.9105663107165475,13.79919520280965,-12.888628892093102,False
DOGE,100,2026-02,3,112,0.49107142857142855,0.39659537706852027,-0.5420995237009899,45.7964636188077,2.750832943535991,-0.8177939931929968,13.501665887071983,-14.31945988026498,False
DOGE,100,2026-02,4,112,0.44642857142857145,0.3524813784269373,-5.716546931385829,47.53352894470379,2.895325202330578,-5.092878101218261,13.790650404661157,-18.88352850587942,False
DOGE,100,2026-02,5,112,0.49107142857142855,0.39659537706852027,-3.70502825485842,55.89694494314513,3.601566870564024,-0.9981597311275943,15.203133741128049,-16.201293472255642,False
DOGE,100,2026-03,1,90,0.5333333333333333,0.4281585816337846,4.4377212662867205,44.185590422785026,2.356855808966508,2.945706028185668,12.713711617933015,-9.768005589747347,False
DOGE,100,2026-03,2,89,0.5168539325842697,0.41091438124781976,3.1086215909106345,41.28447185828486,2.472203919832463,1.3916114109534257,12.944407839664926,-11.5527964287115,False
DOGE,100,2026-03,3,90,0.4777777777777778,0.37247268180749066,-0.7978425977751307,36.81344563508698,2.263441973151574,-1.6361531393371973,12.526883946303148,-14.163037085640346,False
DOGE,100,2026-03,4,89,0.5056179775280899,0.3996248807996255,-2.6103848295259042,42.129859112321206,2.349774072697466,0.4733692035092282,12.699548145394932,-12.226178941885703,False
DOGE,100,2026-03,5,90,0.4666666666666667,0.36149191496711797,-0.552087685617998,47.21791284818118,2.529323412720573,-3.147860856545411,13.058646825441146,-16.206507681986558,False
DOGE,500,2026-02,1,101,0.5247524752475248,0.4253707599005269,18.617471187003204,124.5960488974378,2.9412408025395442,6.168121232546431,13.88248160507909,-7.714360372532658,False
DOGE,500,2026-02,2,101,0.46534653465346537,0.36608208390818875,-5.716616223093727,123.82977521767383,3.1530314573520273,-8.582261648749665,14.306062914704054,-22.88832456345372,False
DOGE,500,2026-02,3,101,0.5346534653465347,0.43538901460125806,10.216603326347188,125.22615369146223,2.770597737971926,8.679040354853825,13.541195475943852,-4.8621551210900265,False
DOGE,500,2026-02,4,101,0.44554455445544555,0.3466327316479032,-5.815585472390228,98.27539360929552,2.5716754591423308,-10.703260690121294,13.14335091828466,-23.846611608405954,False
DOGE,500,2026-02,5,101,0.5445544554455446,0.44544657333202264,5.360546419630069,107.30034667654755,3.685656281931227,9.561417030583453,15.371312563862453,-5.8098955332790005,False
DOGE,500,2026-03,1,80,0.575,0.4644615451528292,16.314101772707165,110.49291448097173,2.4521060740072675,16.57393717214575,12.904212148014535,3.669725024131216,False
DOGE,500,2026-03,2,79,0.5189873417721519,0.40655970409330106,29.453421708064507,99.75530299236287,2.4326848038702744,3.78817606300112,12.865369607740549,-9.07719354473943,False
DOGE,500,2026-03,3,80,0.5125,0.4007315451480159,-15.808652380258314,91.03140461928645,2.3559340440952017,2.275785115482153,12.711868088190403,-10.43608297270825,False
DOGE,500,2026-03,4,79,0.620253164556962,0.5110467808204241,24.556360459842303,88.52100972294316,2.4031029271675175,21.289863097923035,12.806205854335035,8.483657243588,True
DOGE,500,2026-03,5,80,0.6125,0.5035633785175986,15.796226280997152,99.97160346750886,2.351646658021199,22.493610780189503,12.703293316042398,9.790317464147105,False
ENA,100,2026-02,1,145,0.503448275862069,0.42040477095404455,-1.801089219839404,51.74452233772019,2.2842436395461982,0.35685877474289857,12.568487279092396,-12.211628504349498,False
ENA,100,2026-02,2,145,0.5103448275862069,0.42731712393508664,0.9683991503118562,56.00536716467465,2.2848718033986417,1.1587317344415469,12.569743606797283,-11.411011872355736,False
ENA,100,2026-02,3,145,0.5241379310344828,0.44118927881864434,1.125926688324265,54.660110530911965,2.330539777588626,2.6387639566647207,12.661079555177253,-10.022315598512531,False
ENA,100,2026-02,4,145,0.4896551724137931,0.4066274687626728,2.7737046391548184,54.81544226833231,3.1817652155362524,-1.1341125986551535,14.363530431072505,-15.497643029727659,False
ENA,100,2026-02,5,145,0.5586206896551724,0.47614793724869964,5.4016994743435935,57.11744870988134,2.2937189062345817,6.696528469434364,12.587437812469163,-5.890909343034799,False
ENA,100,2026-03,1,113,0.48672566371681414,0.392686735231514,-5.057653094374905,46.34257151323315,1.7272536822691718,-1.2303337569884927,11.454507364538344,-12.684841121526837,False
ENA,100,2026-03,2,112,0.4732142857142857,0.3788588548178601,0.6204862158095942,47.94673459941163,1.7310652002361713,-2.5685750678256243,11.462130400472343,-14.030705468297967,False
ENA,100,2026-03,3,112,0.5357142857142857,0.44146452448004503,2.2371708711789857,54.87313921441195,1.8541034503916332,3.919509943886566,11.708206900783267,-7.788696956896701,False
ENA,100,2026-03,4,112,0.5267857142857143,0.4324302833892887,0.39474666668341335,48.05158349894007,1.9522040220942265,2.574191973157505,11.904408044188454,-9.330216071030948,False
ENA,100,2026-03,5,113,0.5398230088495575,0.4460497692820806,8.986533188064811,49.06390780377496,2.0278979463419096,3.9077448693272046,12.055795892683818,-8.148051023356613,False
ENA,500,2026-02,1,134,0.5373134328358209,0.4511674775977437,18.7840389729494,124.28496459145035,2.2372430091404296,9.274997357570921,12.47448601828086,-3.199488660709939,False
ENA,500,2026-02,2,134,0.5298507462686567,0.4436179940763324,21.428257859295016,125.11859764455617,2.605275451780152,7.469767023555586,13.210550903560303,-5.7407838800047175,False
ENA,500,2026-02,3,133,0.42857142857142855,0.34274979868769845,-25.251710609687482,116.44157703955128,2.359452591116534,-16.63451100565019,12.718905182233069,-29.35341618788326,False
ENA,500,2026-02,4,134,0.5970149253731343,0.5122698107330058,16.07461237585556,119.26263341771431,2.2162714968377544,23.140510961646047,12.432542993675508,10.70796796797054,True
ENA,500,2026-02,5,134,0.5671641791044776,0.4815602712139728,6.129512478124606,119.96139702554939,3.0812978492415404,16.114217510894687,14.16259569848308,1.9516218124116058,False
ENA,500,2026-03,1,103,0.4563106796116505,0.3581546233050218,-10.722931894183802,123.7170807246788,1.868590998326149,-10.81023035458358,11.737181996652298,-22.547412351235877,False
ENA,500,2026-03,2,102,0.43137254901960786,0.33329489411770763,-12.471650943458938,100.49865868978766,1.5753277447622187,-13.793933545657126,11.150655489524437,-24.944589035181565,False
ENA,500,2026-03,3,102,0.4803921568627451,0.38145356777196265,-4.23477943341642,100.59087877260329,2.2418752714537074,-3.9447403440236557,12.483750542907416,-16.428490886931073,False
ENA,500,2026-03,4,102,0.5294117647058824,0.4305684646568464,7.553287100273208,128.6750445193787,1.7748864821853179,7.569120265845807,11.549772964370636,-3.9806526985248283,False
ENA,500,2026-03,5,103,0.4854368932038835,0.3869457687857742,11.655459623209934,101.12502398982359,1.8735717250586523,-2.9453890482472875,11.747143450117305,-14.692532498364592,False
ETH,100,2026-02,1,464,0.5237068965517241,0.477335273330869,2.0215214245297157,26.232515114288844,0.5030836352115466,1.2437830442119684,9.006167270423093,-7.762384226211125,False
ETH,100,2026-02,2,464,0.5431034482758621,0.4968524377792841,2.3953577407783877,27.203670929453054,0.46542238199419095,2.345144045642506,8.930844763988382,-6.585700718345876,False
ETH,100,2026-02,3,463,0.5075593952483801,0.4610907657741462,-0.0972977536123852,24.024010184116513,0.571065160636986,0.3632139768656919,9.142130321273973,-8.77891634440828,False
ETH,100,2026-02,4,464,0.5107758620689655,0.4643628101742862,2.2869436103535197,26.57583912784086,0.5216552774251568,0.5727551536172604,9.043310554850313,-8.470555401233053,False
ETH,100,2026-02,5,464,0.5086206896551724,0.462203755718089,1.2858450499571776,25.739187492496033,0.57094196585436,0.4437790946982055,9.141883931708719,-8.698104837010513,False
ETH,100,2026-03,1,358,0.5195530726256983,0.46674185858982375,0.6812245174847887,21.70728681083429,0.29411409602436656,0.8488883110382104,8.588228192048733,-7.7393398810105225,False
ETH,100,2026-03,2,358,0.4720670391061452,0.41929793631966106,1.9214006231305212,20.84365006868636,0.33245150200229817,-1.164449724507619,8.664903004004596,-9.829352728512216,False
ETH,100,2026-03,3,358,0.49162011173184356,0.43877589274678397,-0.4567903960391625,22.50674755156783,0.3133523543759077,-0.377208059523484,8.626704708751815,-9.003912768275299,False
ETH,100,2026-03,4,358,0.5111731843575419,0.4583347397503595,1.7939927690206334,21.4663361942635,0.35099884733454606,0.4796946635589604,8.701997694669092,-8.222303031110131,False
ETH,100,2026-03,5,358,0.5139664804469274,0.46113546096725294,0.5311876875002957,19.615790371392162,0.33325033533126636,0.5479271053461503,8.666500670662533,-8.118573565316382,False
ETH,500,2026-02,1,453,0.5496688741721855,0.502917169601642,5.083419537982962,57.16441292344433,0.562595403535867,5.678584065242818,9.125190807071734,-3.4466067418289157,False
ETH,500,2026-02,2,452,0.5066371681415929,0.4596052689686412,1.6616421301015754,54.15435867858383,0.5024368577574857,0.7188631682997805,9.004873715514972,-8.286010547215191,False
