symbol,horizon,fold,n_test_windows,p_cascade,precision_top_decile,recall_top_decile,lift,auc,mean_edge_in_cascade_bps,headroom_top_decile_bps,expected_gross_per_day
KPEPE,500,2026-02,492,0.016260162601626018,0.061224489795918366,0.375,3.765306122448979,0.740960743801653,772.4437284923622,2898.487100139608,5093.0559045310265
KPEPE,500,2026-03,424,0.01179245283018868,0.023809523809523808,0.2,2.019047619047619,0.762291169451074,701.3008803187411,1405.9598726435534,2129.024950003095
LDO,10,2026-02,541,0.024029574861367836,0.1111111111111111,0.46153846153846156,4.6239316239316235,0.7077505827505829,105.70030059450521,478.75096257801124,925.0152526953718
LDO,10,2026-03,466,0.008583690987124463,0.043478260869565216,0.5,5.065217391304348,0.7591991341991341,77.34343700576574,381.7613222248569,635.3599148456547
LDO,50,2026-02,534,0.03745318352059925,0.18867924528301888,0.5,5.037735849056604,0.7492217898832685,198.22522232789242,988.6063087084393,1885.4134601796666
LDO,50,2026-03,465,0.017204301075268817,0.08695652173913043,0.5,5.054347826086956,0.7188183807439825,165.85254983510822,828.2764747100578,1375.5305740720603
LDO,100,2026-02,526,0.026615969581749048,0.15384615384615385,0.5714285714285714,5.780219780219781,0.7647879464285714,303.3223057614772,1743.269591544363,3274.856446972625
LDO,100,2026-03,456,0.019736842105263157,0.06666666666666667,0.3333333333333333,3.3777777777777778,0.7608749689286602,269.32982813579855,899.7363083698084,1465.2848450594022
LDO,500,2026-02,470,0.00851063829787234,0.02127659574468085,0.25,2.5,0.6357296137339057,788.1615004043854,1960.4037510109633,3290.6777249112597
LDO,500,2026-03,406,0.0049261083743842365,0.0,0.0,0.0,0.4443069306930693,543.6543773976122,-10.0,-14.5
LINK,10,2026-02,599,0.035058430717863104,0.1016949152542373,0.2857142857142857,2.9007263922518165,0.7067062118965234,85.13630647073677,236.95713111850526,506.9190054999452
LINK,10,2026-03,496,0.014112903225806451,0.04081632653061224,0.2857142857142857,2.892128279883382,0.773298276365761,67.19259415279177,184.32960174801585,326.5267230964852
LINK,50,2026-02,596,0.026845637583892617,0.05084745762711865,0.1875,1.8940677966101696,0.6662715517241379,159.4986827274171,292.10131855574343,621.7585209257967
