symbol,bucket_start_ms,bbo_updates,avg_spread_bps,max_spread_bps,avg_top_bid_notional,avg_top_ask_notional,first_mid,last_mid,first_order_id,last_order_id,mid_return_bps,bbo_churn_per_min,order_id_delta,top_depth_notional,trade_count,trade_qty,signed_trade_qty,trade_notional,liquidation_count,liquidation_notional,abs_trade_imbalance,mark_oracle_basis_bps,mid_oracle_basis_bps,funding,next_funding,open_interest,price_updates,mark_oracle_basis_abs_bps,book_updates,avg_book_spread_bps,avg_bid_depth_l5,avg_ask_depth_l5,avg_bid_orders_l5,avg_ask_orders_l5,first_book_nonce,last_book_nonce,realized_vol_bps,toxicity_score
2Z,1777594200000,22.0,20.561144897131722,24.44987775061195,5911.457327272727,4601.658372727273,0.0818,0.08185,8209737283.0,8209746371.0,6.112469437653534,22.0,9088.0,10513.115699999998,2.0,2.0,0.0,0.1636,0.0,0.0,0.0,-10.858425650284499,-13.9085452149711,-1.641e-05,-1.68e-06,1095350.0,19.0,10.858425650284499,217.0,18.418850009540307,201257.82488479262,162557.06912442396,13.714285714285714,12.08294930875576,8209716438.0,8209746376.0,4.320848560930988,0.5773717539557227
2Z,1777594260000,9.0,12.217470983506765,12.217470983506765,349.8313333333333,6199.1657000000005,0.08185,0.08185,8209754157.0,8209761000.0,0.0,9.0,6843.0,6548.997033333334,1.0,1.0,1.0,0.0819,0.0,0.0,1.0,-11.956322820716265,-14.03037882022694,-1.641e-05,-3.52e-06,1095350.0,15.0,11.956322820716265,187.0,12.217470983506765,241811.5294117647,250936.48128342247,12.70053475935829,12.737967914438503,8209737342.0,8209759286.0,4.320848560930988,0.6073504216078207
2Z,1777594320000,13.0,15.99048532331406,24.44987775061195,5699.7894,5462.910092307692,0.08185,0.0818,8209768338.0,8209774953.0,-6.108735491754391,13.0,6615.0,11162.699492307693,1.0,1.0,1.0,0.0818,0.0,0.0,1.0,-14.641824371317762,-19.1563868858065,-1.641e-05,-5.89e-06,1095350.0,19.0,14.641824371317762,229.0,17.40514857563817,267702.52838427946,252091.519650655,14.51528384279476,13.497816593886462,8209751222.0,8209778440.0,4.320848560930988,0.6421736598694303
2Z,1777594380000,4.0,21.395512288494217,24.44987775061195,6454.442975,7469.976124999999,0.0818,0.0818,8209785483.0,8209793112.0,0.0,4.0,7629.0,13924.4191,2.0,2.0,0.0,0.16349999999999998,0.0,0.0,0.0,-14.275952950364342,-19.034603933818556,-1.641e-05,-7.19e-06,1095350.0,19.0,14.275952950364342,206.0,24.449877750611947,225470.08737864078,224509.3009708738,10.815533980582524,11.300970873786408,8209767091.0,8209797419.0,4.320848560930988,0.5209012217108431
2Z,1777594440000,4.0,24.44987775061195,24.44987775061195,6570.6203749999995,9479.31075,0.0818,0.0818,8209808157.0,8209809174.0,0.0,4.0,1017.0,16049.931125,1.0,1.0,-1.0,0.0817,0.0,0.0,1.0,-15.008053101664078,-19.034603933818556,-1.641e-05,-8.3e-06,1095350.0,15.0,15.008053101664078,160.0,24.44987775061195,248195.0125,234710.55,13.23125,13.225,8209799782.0,8209797300.0,4.320848560930988,0.6148951299537518
2Z,1777594500000,27.0,23.092381989670734,24.44987775061195,6012.575333333333,9134.001244444444,0.08174999999999999,0.0818,8209813779.0,8209831421.0,6.116207951072372,27.0,17642.0,15146.576577777778,2.0,2.0,0.0,0.16349999999999998,0.0,0.0,0.0,-13.423146385512641,-18.060233318689335,-1.641e-05,-8.91e-06,1095350.0,20.0,13.423146385512641,233.0,20.83183110879009,251463.76394849786,249583.69957081546,13.892703862660944,13.562231759656653,8209813532.0,8209829460.0,4.32217068848081,0.5992612064814504
2Z,1777594560000,12.0,20.377390467788306,24.44987775061195,6430.464025,8999.167041666668,0.0818,0.0818,8209844813.0,8209849181.0,0.0,12.0,4368.0,15429.631066666669,1.0,1.0,-1.0,0.0817,0.0,0.0,1.0,-14.033289403034868,-18.060233318689335,-1.641e-05,-9.01e-06,1095350.0,16.0,14.033289403034868,191.0,24.1940146752513,272611.21989528794,259696.8115183246,15.073298429319372,14.6282722513089,8209815175.0,8209852118.0,4.32217068848081,0.6488281206257489
2Z,1777594620000,9.0,21.734886228729522,24.44987775061195,7277.845077777777,7750.697477777778,0.08174999999999999,0.0818,8209853292.0,8209860352.0,6.116207951072372,9.0,7060.0,15028.542555555556,2.0,2.0,2.0,0.1636,0.0,0.0,1.0,-15.740153252965507,-19.034603933818556,-1.641e-05,-9.65e-06,1095350.0,15.0,15.740153252965507,177.0,24.449877750611947,276446.2429378531,276060.6384180791,14.954802259887005,15.587570621468927,8209834866.0,8209868053.0,3.3499850611947797,0.6230683307017838
2Z,1777594680000,11.0,20.007164351167976,24.44987775061195,6729.948372727274,7613.529427272728,0.08174999999999999,0.0818,8209869131.0,8209885042.0,6.116207951072372,11.0,15911.0,14343.4778,2.0,2.0,2.0,0.1636,0.0,0.0,1.0,-14.641824371317762,-25.257147040521108,-1.641e-05,-1.04e-05,1095350.0,15.0,14.641824371317762,165.0,23.85751596401942,247701.1696969697,241563.41818181818,12.515151515151516,12.484848484848484,8209868812.0,8209885042.0,3.3499850611947797,0.6267762958981421
2Z,1777594740000,6.0,16.30490318496467,24.44987775061195,3249.90345,5274.2456,0.08174999999999999,0.08174999999999999,8209886568.0,8209902299.0,0.0,6.0,15731.0,8524.14905,1.0,1.0,1.0,0.0818,0.0,0.0,1.0,-15.014098604787193,-21.117390720553765,-1.641e-05,-1.059e-05,1095350.0,15.0,15.014098604787193,169.0,16.931439690014457,234552.87573964498,256169.0828402367,12.727810650887575,14.088757396449704,8209868053.0,8209884460.0,3.3499850611947797,0.5937223547328697
2Z,1777594800000,8.0,12.232415902141025,12.232415902141025,349.5943,1250.773125,0.08174999999999999,0.08174999999999999,8209904640.0,8209918882.0,0.0,8.0,14242.0,1600.367425,2.0,2.0,2.0,0.1636,0.0,0.0,1.0,-15.014098604787193,-21.117390720553765,-1.641e-05,-1.049e-05,1095316.0,17.0,15.014098604787193,212.0,12.232415902141025,203744.24528301886,228863.0754716981,11.915094339622641,11.716981132075471,8209904642.0,8209918928.0,3.3499850611947797,0.5917164981355191
2Z,1777594860000,7.0,12.232415902141025,12.232415902141025,349.59430000000003,838.2513428571428,0.08174999999999999,0.08174999999999999,8209920873.0,8209928370.0,0.0,7.0,7497.0,1187.8456428571428,2.0,2.0,2.0,0.1636,0.0,0.0,1.0,-15.014098604787193,-21.117390720553765,-1.641e-05,-1.002e-05,1095316.0,19.0,15.014098604787193,198.0,12.232415902141025,220047.06565656565,246888.68181818182,13.333333333333334,13.747474747474747,8209920172.0,8209934207.0,3.3499850611947797,0.5866115720988566
2Z,1777594920000,23.0,17.56518376758002,24.479804161565713,4464.617143478261,4827.802117391304,0.08174999999999999,0.08165,8209940952.0,8209949867.0,-12.232415902139193,23.0,8915.0,9292.419260869565,1.0,1.0,1.0,0.0817,0.0,0.0,1.0,-19.911315246205287,-26.01908065915063,-1.641e-05,-1.2e-05,1095316.0,16.0,19.911315246205287,176.0,12.58954627767951,239872.79545454544,237538.35227272726,13.630681818181818,12.017045454545455,8209918720.0,8209933720.0,6.699970122387297,0.7134130636834973
2Z,1777594980000,16.0,19.128126215650486,24.479804161565713,5082.0123,7789.69715,0.08165,0.0817,8209952676.0,8209958939.0,6.1236987140222965,16.0,6263.0,12871.70945,3.0,3.0,1.0,0.245,0.0,0.0,0.3333333333333333,-19.544371831673303,-20.15513345141373,-1.641e-05,-1.291e-05,1095316.0,16.0,19.544371831673303,198.0,20.402335250392206,286229.8686868687,266255.43434343435,13.93939393939394,14.752525252525253,8209934420.0,8209965617.0,6.70202207557814,0.6312793249795635
2Z,1777595040000,4.0,21.421702478185583,24.479804161565713,6454.3968,10528.498425,0.0817,0.0817,8209968480.0,8209970484.0,0.0,4.0,2004.0,16982.895225,2.0,2.0,0.0,0.1633,0.0,0.0,0.0,-19.30006718377713,-20.15513345141373,-1.641e-05,-1.404e-05,1095316.0,18.0,19.30006718377713,205.0,24.479804161565713,258323.59512195122,291837.7756097561,13.341463414634147,12.824390243902439,8209953585.0,8209965612.0,6.70202207557814,0.5608951747460834
2Z,1777595100000,5.0,24.479804161565713,24.479804161565713,5104.12896,11896.8284,0.0817,0.0817,8209989444.0,8209992337.0,0.0,5.0,2893.0,17000.95736,,,,,,,,-19.298888481738302,-20.76462684744149,-1.641e-05,-1.513e-05,1095316.0,19.0,19.298888481738302,220.0,24.479804161565713,258810.5090909091,272316.90454545454,13.545454545454545,15.045454545454545,8209980356.0,8209993412.0,6.70202207557814,0.5713513846429491
2Z,1777595160000,34.0,22.330849954474473,24.509803921567624,5766.004335294118,6832.3543852941175,0.0817,0.0816,8209996764.0,8210007609.0,-12.23990208078174,34.0,10845.0,12598.358720588236,2.0,2.0,0.0,0.1633,0.0,0.0,0.0,-13.323717439402982,-25.54731142050396,-1.641e-05,-1.624e-05,1095316.0,19.0,13.323717439402982,212.0,23.38817333205238,233985.97641509434,251351.24528301886,11.764150943396226,14.226415094339623,8209980547.0,8210007609.0,8.209940954037844,0.6543151812409715
